Type_Name	ASN1_Type	Parent_Type	Tag/ID	Field_Name	IE_Type	Criticality	Optional	Extensible	Min_Value	Max_Value
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	ignore					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		reset	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		2025	by					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricAssistance	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricAssistanceIndication	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricAssistanceHalt	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricControl	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricIndication	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	ignore					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricServiceLoadStatus	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	ignore					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricServiceLoadUpdate	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	ignore					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricServiceQuery	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	ignore					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricServiceUpdate	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricSubscription	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		2025	by					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricSubscriptionAudit	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricSubscriptionDelete	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricSubscriptionDeleteRequired	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	ignore					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		ricSubscriptionModification	E2AP-ELEMENTARY-PROCEDURE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		INITIATING	MESSAGE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		SUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		UNSUCCESSFUL	OUTCOME					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		PROCEDURE	CODE					
UnsuccessfulOutcome	SEQUENCE	UnsuccessfulOutcome		CRITICALITY	reject					
